id,label,skips,rewards
10,"[0, 0, 0, 2, 2, 1, 2, 0, 3, 1, 0, 1, 0, 1, 1]","{0: [1], 1: [0, 1], 2: [0, 0, 1], 3: [1, 0, 1, 1]}","[0.05744207186632673, 0.26346936195595083, 0.3171505771767599, 0.2784973717061793, 0.2622420221851996, 0.27595403249788275, 0.30479547799070006, 0.2721681309335236, 0.31437668121054196, 0.2901358795813504]"
10,"[1, 2, 1, 1, 3, 0, 3, 2, 3, 0, 3, 0, 0, 3, 1]","{0: [1], 1: [0, 1], 2: [1, 0, 0], 3: [0, 1, 1, 0]}","[0.17969934515936412, 0.294086238583974, 0.28105629027913037, 0.30209420445979795, 0.26593551789966074, 0.2671743459652642, 0.2875220586137977, 0.24311972765423262, 0.3034428373146045, 0.30209420445979795]"
10,"[2, 2, 1, 3, 2, 1, 1, 0, 2, 1, 1, 0, 0, 2, 2]","{0: [0], 1: [1, 0], 2: [1, 1, 0], 3: [1, 0, 0, 1]}","[0.1261249932802841, 0.2901358795813504, 0.21946401738949653, 0.2994089384287623, 0.2914487096290633, 0.27595403249788275, 0.2862210558013131, 0.28105629027913037, 0.2684170153551299, 0.27595403249788275]"
10,"[3, 0, 0, 2, 1, 1, 3, 1, 0, 0, 0, 1, 3, 0, 3]","{0: [0], 1: [0, 1], 2: [0, 1, 1], 3: [1, 1, 1, 0]}","[0.19537372411730253, 0.2734262250836617, 0.2525602359311233, 0.2862210558013131, 0.2901358795813504, 0.2994089384287623, 0.2994089384287623, 0.31994074228102914, 0.24079694348960193, 0.2875220586137977]"
10,"[2, 2, 3, 2, 0, 0, 1, 0, 2, 3, 2, 1, 2, 1, 0]","{0: [1], 1: [1, 0], 2: [1, 0, 1], 3: [1, 0, 1, 0]}","[0.19336647560382939, 0.2875220586137977, 0.2954109493838166, 0.23052739795442567, 0.3075128065920478, 0.3185436231134769, 0.2980722933598883, 0.274688190289674, 0.2549579437578336, 0.28105629027913037]"
10,"[1, 3, 0, 0, 3, 1, 0, 2, 0, 2, 3, 0, 2, 3, 0]","{0: [0], 1: [1, 1], 2: [0, 0, 1], 3: [1, 0, 0, 1]}","[0.25616246748958493, 0.2797748805989118, 0.3129958192883965, 0.2721681309335236, 0.1913730225582947, 0.24899193408820353, 0.2573707790286969, 0.19336647560382939, 0.245457401410121, 0.2671743459652642]"
10,"[0, 2, 2, 0, 0, 3, 3, 1, 2, 1, 1, 0, 1, 1, 2]","{0: [0], 1: [0, 1], 2: [1, 1, 0], 3: [1, 1, 1, 0]}","[0.150064798016555, 0.2954109493838166, 0.2442867003601084, 0.2537572018871206, 0.31024623783442024, 0.31576159852455576, 0.26966353201558, 0.2442867003601084, 0.258582884321492, 0.31437668121054196]"
10,"[0, 0, 3, 2, 1, 3, 2, 2, 1, 1, 0, 0, 2, 1, 1]","{0: [0], 1: [0, 1], 2: [0, 1, 1], 3: [1, 0, 1, 0]}","[0.13695214231362707, 0.2513670399435197, 0.28492398350792647, 0.2967396323270139, 0.28492398350792647, 0.31994074228102914, 0.3185436231134769, 0.2573707790286969, 0.2994089384287623, 0.2914487096290633]"
10,"[3, 3, 1, 2, 3, 0, 0, 0, 1, 3, 0, 0, 3, 3, 2]","{0: [1], 1: [1, 1], 2: [1, 1, 0], 3: [1, 0, 0, 1]}","[0.18644943293476315, 0.294086238583974, 0.30209420445979795, 0.19436837245391247, 0.26966353201558, 0.3034428373146045, 0.2622420221851996, 0.2734262250836617, 0.2537572018871206, 0.26966353201558]"
10,"[1, 0, 1, 0, 2, 0, 2, 2, 3, 0, 2, 2, 3, 1, 1]","{0: [0], 1: [0, 1], 2: [1, 0, 1], 3: [0, 0, 1, 0]}","[0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623]"
10,"[1, 3, 3, 2, 3, 1, 3, 1, 1, 3, 2, 1, 3, 0, 3]","{0: [0], 1: [1, 1], 2: [0, 0, 1], 3: [1, 1, 1, 0]}","[0.03659568674764546, 0.27595403249788275, 0.2875220586137977, 0.2442867003601084, 0.30209420445979795, 0.25979878931429257, 0.300749573479958, 0.31161900681179666, 0.245457401410121, 0.23964112013820227]"
10,"[3, 0, 0, 0, 3, 2, 1, 2, 0, 3, 1, 1, 0, 0, 1]","{0: [0], 1: [1, 1], 2: [1, 1, 1], 3: [0, 0, 1, 0]}","[0.09964512575935193, 0.23619585365179713, 0.23734058116562218, 0.2140676059413422, 0.258582884321492, 0.22164772301981162, 0.2647005252119971, 0.30209420445979795, 0.31437668121054196, 0.23391745283746496]"
10,"[3, 3, 3, 3, 1, 2, 1, 3, 0, 1, 0, 0, 3, 2, 2]","{0: [0], 1: [0, 1], 2: [0, 1, 0], 3: [1, 0, 1, 0]}","[0.1613151398768231, 0.2994089384287623, 0.26101849995342097, 0.2862210558013131, 0.300749573479958, 0.2954109493838166, 0.28234160669315744, 0.30615213243440703, 0.3088775064099447, 0.274688190289674]"
10,"[1, 0, 2, 3, 2, 0, 1, 2, 1, 0, 3, 0, 1, 1, 3]","{0: [0], 1: [1, 0], 2: [0, 1, 0], 3: [0, 1, 1, 0]}","[0.28105629027913037, 0.300749573479958, 0.2954109493838166, 0.258582884321492, 0.30479547799070006, 0.31994074228102914, 0.25979878931429257, 0.2875220586137977, 0.23619585365179713, 0.2862210558013131]"
10,"[0, 3, 0, 2, 3, 0, 1, 3, 1, 3, 1, 2, 0, 3, 3]","{0: [1], 1: [1, 1], 2: [1, 0, 0], 3: [0, 0, 0, 0]}","[0.2927654939811637, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623]"
10,"[2, 0, 0, 0, 0, 0, 2, 3, 2, 1, 1, 2, 0, 3, 3]","{0: [0], 1: [0, 0], 2: [0, 1, 0], 3: [0, 1, 1, 1]}","[0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623]"
10,"[0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 3, 2, 3, 1, 0]","{0: [1], 1: [0, 1], 2: [1, 0, 0], 3: [0, 0, 0, 0]}","[0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623, 0.2994089384287623]"
